[2026-03-22 09:08:57] bot started | dry_run=True
[2026-03-22 09:10:49] no signal | equity=100.00 cash=100.00
[2026-03-22 09:10:53] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=247.596631 up=0.485 down=0.515
[2026-03-22 09:10:53] no signal | equity=100.00 cash=100.00
[2026-03-22 09:10:56] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=243.698092 up=0.485 down=0.515
[2026-03-22 09:10:56] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:01] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=239.548396 up=0.485 down=0.515
[2026-03-22 09:11:01] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:06] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=235.207195 up=0.485 down=0.515
[2026-03-22 09:11:06] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:10] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=230.295095 up=0.485 down=0.515
[2026-03-22 09:11:10] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:14] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=226.414624 up=0.485 down=0.515
[2026-03-22 09:11:14] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:18] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=222.499984 up=0.485 down=0.515
[2026-03-22 09:11:18] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:21] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=218.635114 up=0.485 down=0.515
[2026-03-22 09:11:21] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:25] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=214.763177 up=0.485 down=0.515
[2026-03-22 09:11:25] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:29] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=210.894273 up=0.485 down=0.515
[2026-03-22 09:11:29] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:33] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=207.005824 up=0.485 down=0.515
[2026-03-22 09:11:33] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:37] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=203.132175 up=0.485 down=0.515
[2026-03-22 09:11:37] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:41] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=199.174174 up=0.485 down=0.515
[2026-03-22 09:11:41] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:45] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=195.271108 up=0.485 down=0.515
[2026-03-22 09:11:45] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:49] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=191.37716 up=0.485 down=0.515
[2026-03-22 09:11:49] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:53] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=187.447233 up=0.485 down=0.515
[2026-03-22 09:11:53] no signal | equity=100.00 cash=100.00
[2026-03-22 09:11:57] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=183.584718 up=0.485 down=0.515
[2026-03-22 09:11:57] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:00] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=179.717832 up=0.485 down=0.515
[2026-03-22 09:12:00] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:04] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=175.843561 up=0.485 down=0.515
[2026-03-22 09:12:04] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:08] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=171.963102 up=0.485 down=0.515
[2026-03-22 09:12:08] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:12] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=168.093775 up=0.485 down=0.515
[2026-03-22 09:12:12] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:16] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=164.222047 up=0.485 down=0.515
[2026-03-22 09:12:16] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:20] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=160.287795 up=0.485 down=0.515
[2026-03-22 09:12:20] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:24] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=156.413674 up=0.485 down=0.515
[2026-03-22 09:12:24] no signal | equity=100.00 cash=100.00
[2026-03-22 09:12:28] no entry | slug=btc-updown-5m-1774141800 reason=too_early_in_market secs_left=152.522625 up=0.485 down=0.515
[2026-03-22 09:12:28] no signal | equity=100.00 cash=100.00
